_	a	determiner			banyin na basia	a man and a woman
taepe	type	verb			me taepe ntɛm	I type fast
taete	tithe	noun			tua wo taete	pay your tithe
Taewan	Taiwan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Taewan	go to Taiwan
Taewannyi	Taiwanese	noun	obi a ɔ fi Taewan	someone from Taiwan	Taewanfo no	the Taiwanese
tafere	lick	verb			kraman no retafere ne kuru	the dog is licking its sore
tafere	lick	verb			tafere atere no ho	to lick the spoon
taferebanyimbɔmu	challenge	noun			taferebanyimbɔmu papa	a good challenge
tah	spatula	noun			ntah abiasa	three spatulas
Tajekestan	Tajikstan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Tajekestan	go to Tajikstan
Tajekestannyi	Tajik	noun	obi a ɔ fi Tajekestan	someone from Tajikstan	Tajekestanfo no	the Tajiks
takontaar	turpentine	noun			takontaar nye kresiin	turpentine and kerosene
Takorade	Takoradi	noun			Sekunde na Takorade	Sekondi and Takoradi
takra	feather	noun			anoma ntakra	bird's feathers
taksi	taxi	noun			frɛ taksi ma me	call me a taxi
takua	headgear	noun			bɔ takua	put on headgear
tam	cloth	noun			fura tam	wear cloth
tam	grab	verb			tam ne nsa	grab his hand
tamfo	enemy	noun			atamfo bɛbrɛ	enemies will tire
tamram	dove	noun			tamram fufuw	white dove
tan	undesirable	adjective			ɔ yɛ tan	it is undesirable
tan	filthy	adjective			hɔ yɛ tan	the place is filthy
tan	hatred	noun			tan nnyi aduru	hatred has no cure
tan	hate (someone)	verb			ɔ tan  me	he hates me
Tanzania	Tanzania	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Tanzania	go to Tanzania
Tanzanianyi	Tanzanian	noun	obi a ɔ fi Tanzania	someone from Tanzania	Tanzaniafo no	the Tanzanians
Tanɔ	Tano	noun			Tanɔ Nsutene	Tano River
tare	paste	verb			tare no wɔ ban no ho	to paste it on the wall
tase	pick up	verb			tase nyena	pick up firewood
tawa	tobacco	noun			hyew tawa	smoke tobacco
tayaa	tile	noun			aguaree ntayaa	bathroom tiles
te	live	verb			yɛ te ha	we live here
te	reside	verb			me te Osu	I reside in Osu
te	hear	verb			ɔ tee abɛn no	she heard the whistle
te ... ase	understand	verb			te biribi ase papaapa	to understand something very well
te ... nka	sense	verb			me te nka dɛ yɛ bɛhyɛ gool	I sense we will score a goal
te ... nka	feel	verb			me te nka yie	I am feeling good
te apɔw	recover	verb			yarfo te apɔw	a sick person recovers
tea	discipline	verb			tea wo ba	discipline your child
tea  mu	yell	verb			yɛ bɛtea mu	we will yell
teaa	thin	adjective			dua teaa	thin stick
tease	living	adjective			nyame teasenyi	living god
teaseanam	chariot	noun			dade teasenam	chariot of iron
tebea	location	noun			fi ha kɔ tebea foforo	from here to a new location
tebɔɔ	inactive	noun			ɔ yɛ tebɔɔ	he is inactive
tee	straight	adjective			kwan tee	straight road
teetee	harass	verb			gyae me teetee	stop harassing me
tema	empathy	noun			ɔ wɔ tema dɛ	she has such empathy
tena	sit	verb			tena ha	to sit here
tenabea	habitat	noun			mbowa tenabea	habitat of animals
tene	straighten	verb			tene wo atare	straighten your dress
tenenee	upright	adjective			nyimpa tenenee	upright person
tenten	height	noun			tenten nye trɛtrɛ	height and width
tenten	long	adjective			abɔdwesɛ tenten	long beard
tera	cross	verb			tera nsutene no	cross the stream
terew	slip	verb			ɔ terewee na ɔ bɔee famu	she slipped and fell
tesɛ	like	preposition			ɛ dwene tesɛ nyimpa	to think like a human
tete	ancient	adjective			dan tete	ancient house
tete	antiquity	noun			wɔ awɔ ha firi tete	they have been here from antiquity
tetekwaa	outdated	adjective			lɔre tetekwaa	outdated lorry
tetɛw	bud	verb			aburow no retetɛw	the maize is budding
tew	pluck	verb			tew aduaba	pluck fruit
tew	reduce	verb			tew anum fi mu	reduce it by five
tew	found	verb			ma yɛn tew kuw	let us found a group
tew	tear	verb			tew krataa no bi	tear some of the paper
tɛ	test	verb			me de tɛee wo	I was testing you
Tɛɛki	Turkey	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Tɛɛki	go to Turkey
Tɛɛkinyi	Turk	noun	obi a ɔ fi Tɛɛki	someone from Turkey	Tɛɛkifo no	the Turks
Tɛkemɛnestan	Turkmenistan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Tɛkemɛnestan	go to Turkmenistan
Tɛkemɛnestannyi	Turkmen	noun	obi a ɔ fi Tɛkemɛnestan	someone from Turkmenistan	Tɛkemɛnestanfo no	the Turkmens
tɛkyerɛ	feather	noun			anoma ntɛkyerɛ	bird's feathers
tɛkyerɛma	tongue	noun			kraman ne tɛkyerɛma	dog's tongue
tɛlɛfoon	telephone	noun			fie tɛlɛfoon	house telephone
tɛlɛvihyɛn	television	noun			sɔ tɛlɛvihyɛn no	switch on the television
tɛtea	ant	noun			ntɛtea mpempem	thousands of ants
tɛtrɛɛ	flat	adjective			pono tɛtrɛɛ	flat table
tɛw	tail	verb			tɛw obi	to tail someone
ti	ladle	verb			ti bi ma no	ladle some for her
tia	brief	adjective			ma wo asɛm nyɛ tia	let your story be brief
tia	step	verb			tia ne so	step on it
tia	oppose	verb			yɛ bɛtia bɔne	we will oppose evil
tia	minor	adjective			kurow tia	a minor town
tiatia	short	adjective			banyin tiatia	short man
tibowa	conscience	noun			wo tibowa	your conscience
tibɔne	wicked	adjective			wo yɛ tibɔne paa	you are very wicked
tidwereba	skull	noun			me tidwereba	my skull
tie	listen	verb			tie ndwom	to listen to music
tiefi	toilet	noun			kɔ tiefi	go to the toilet
tiefi krataa	toilet roll	noun			tɔ tiefi krataa	to buy toilet roll
tieni	listener	noun			me kyia mo atiefo	hello listeners
tihyew	belch	verb			didi na tihyew	eat then belch
tii	tea	noun			tii no yɛ dɛw	the tea is sweet
tiihyɛɛte	t-shirt	noun			tiihyɛɛte fitaa	white t-shirt
tikiti	ticket	noun			hwɛ me tikiti	look at my ticket
tikyia	teacher	noun	kyerɛkyerɛnyi		me yɛ tikyia	I am a teacher
tikyianyi	teacher	noun			me yɛ tikyianyi	I am a teacher
tim	stamp	verb			tim so	stamp it
timtimni	printer	noun			nwoma timtimni	book printer
tinsa	dowry	noun			tinsa kɛse	a large dowry
tintim	print	verb			wɔ tintim nwoma	they print books
tintim	stamp	verb			Opanin, tintim ma me ae	Big Man, please stamp it for me
tipɛn	colleague	noun			wo atipɛn	your colleagues
tipɛn	peer	noun			wo atipɛn	your peers
tiri	head	noun			wo tiri kɛse	your big head
tiri	chapter	noun			tiri 12	chapter 12
tirimuden	wickedness	noun			mo pɛpɛɛ nye mo tirimuden	your stinginess and your wickedness
tirimumbɔbɔr	leniency	noun			kyerɛ no tirimumbɔbɔr	show him leniency
tirimupɔw	purpose	noun			wo tirimupɔw	your purpose
tiripae	headache	noun			tiripae aduru	headache medicine
tiriyi	haircut	noun			me hia tiriyi	I need a haircut
titi	pinch	verb			gyae me titi	stop pinching me
titiriw	important	adjective			wo yɛ nyimpa titiriw	you are an important person
Tito	Titus	noun			Tito 1:1	Titus 1:1
tiw	pursue	verb			tiw no	pursue him
to	buttocks	noun			to kɛse	big buttocks
to	bake	verb			to paanoo	bake bread
to adi	state	verb			ɔ de toee adi sɛ	he stated that
toa	bottle	noun			ntoa anum	five bottles
toa	jar	noun			ntoa asuon	seven jars
toa ... do	continue	verb			toa adwuma no do	continue the work
toa ... so	continue	verb			toa adwuma no so	continue the work
Togo	Togo	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Togo	go to Togo
Togonyi	Togolese	noun	obi a ɔ fi Togo	someone from Togo	Togofo no	the Togolese
tokura	window	noun			bue ntokura no	open the windows
tokuro	hole	noun			tokuro ketewa	small hole
tomatose	tomato	noun			tomatose abien	two tomatoes
tomfo	blacksmith	noun			ɔ yɛ tomfo	she is a blacksmith
tonton	exult	verb			tonton no	exult her
toonoo	bumblebee	noun			toonoo kɛse	a fat bumblebee
topae	bomb	noun			topae no kabumee	the bomb exploded
toroni	liar	noun			atorofo abiasa	three liars
toto	roast	verb			toto aburow kakra	roast a little corn
totorobɛnto	trumpet	noun			ntotorobɛnto asuon	seven trumpets
totɔ	purchase	verb			totɔ ndeɛmba kakra	purchase a few things
totɔtotɔ	chickenpox	noun			totɔtotɔ yɛ yare	chickenpox is a disease
tow	levy	noun			tua tow	pay a levy
tow	tax	noun		a payment by members of a community to support the community	tua tow	to pay tax
tow	sing	verb			tow ndwom dɛwdɛw	to sing a sweet song
tow	throw	verb			aduane no asɛe nti me atow akyene	the food is spoilt so I have thrown it away
tow	shoot	verb			tow turu	to shoot a gun
tow ... gu	throw away	verb			tow nsu no gu	throw away the water
tow ... kyene	discard	verb			tow bɔɔl no kyene	discard the ball
tow ... mu	close	verb			tow pon no mu	to close the door
tow aba	vote	verb			tow aba ma me	vote for me
tow abasa	march	verb			nsordaafo no retow abasa	the soldiers are marching
towuro		noun	antuhu			
tɔ	buy	verb			tɔ ade	to buy something
tɔ	fall	verb		move downward	ahoma fi dan no soro tɔee famu	a rope fell from the roof of the house
tɔ ... mu	fall into	verb			tɔ bɔn mu	fall into a pit
tɔ nko	doze	verb			wo retɔ nko	you are dozing
tɔfe	toffee	noun			tafere tɔfe	lick a toffee
tɔmbɛr	tumbler	noun			nsu tɔmbɛr koro	one tumbler of water
tɔn	sell	verb			tɔn adan	to sell houses
tɔnnyi	seller	noun			apɛfo nye atɔmfo	buyers and sellers
tɔw	lump	noun			sika tɔw	a lump of gold
trae	try	verb			trae biom	try again
trafeke	traffic	noun			trafeke kandea	traffic light
trɛsui	area	math		a quantity that represents the size of a surface	trɛsui (kwanyɛn-anan) = atenten x tɛtrɛtɛ	area (rectangle) = length x width
trɛtrɛ	width	noun			tenten nye trɛtrɛ	height and width
trɛw	spread	verb			trɛw mu	spread it
trɔke	truck	noun			trɔke kɔkɔɔ	a red truck
trɔma	morsel	noun			ntrɔma abien	two morsels
trɔsa	trouser	noun			ɔ hyɛ trɔsa	she wears trousers
trɔtrɔ	van	noun			fow trɔtrɔ	board a van
tu	very much	adverb			ne anyiwa gye neho tu	she enjoys herself very much
tu	fly	verb			tu kɔ wimu	to fly into the sky
tu ... fo	advise	verb			Samia tu Olu fo	Samia advises Olu
tu mbogya	bleed	verb			ɔ retu mbogya	he is bleeding
tu nguan	run	verb			tu nguan te sɛ asoaso	to run like a hare
tua	pay	verb			me bɛtua	I will pay
tuatew	rebellion	noun			tuatew no ahyɛ ase	the rebellion has started
tuatewnyi	rebel	noun			atuatewfo no diee nkonyim	the rebels won
tuei	pierce	verb			tuei wo asowa	pierce your ear
tugu	abortion	noun			dɔketa no yɛ tugu	the doctor performs abortion
tumfo	powerful	adjective			kɔmfo tumfo	powerful prophet
tumfuru	glutton	noun			ɔ yɛ tumfuru	he is a glutton
tumfuru	greedy	adjective			kwasea tumfuru	greedy fool
tumi	be able to	verb			me tumi fow dua	I am able to climb a tree
tumi	power	noun			ahoɔden na tumi	strength and power
tumi	can	verb		be able to	me tumi kenkan	I can read
tumm	dark	adjective			anafua tumm	dark night
tun	bum	noun			tun pii	large bum
Tunihyia	Tunisia	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Tunihyia	go to Tunisia
Tunihyianyi	Tunisian	noun	obi a ɔ fi Tunihyia	someone from Tunisia	Tunihyiafo no	the Tunisians
tuntum	black	adjective			tam tuntum	black cloth
tuntuma	pillar	noun			si ntuntuma no	build the pillars
ture	garden	noun			yɛn ture	our garden
turu	gun	noun			sordaanyi wɔ turu	a soldier has a gun
tutu	early	adjective			anapa tutu	early morning
tutu	dig	verb			tutu bɔn	to dig a hole
twa	cut	verb			twa keeke no mu abien	to cut the cake in two
twa .. mu	cancel	verb			twa nhyia no mu	cancel the meeting
twa ... ano	interrupt	verb			twa no ano	interrupt him
twa ... ho hyia	surround	verb			twa fie no ho hyia	to surround the house
twako	chalk	noun			twako fitaa	white chalk
twann	elastic	adjective			ahoma twann	elastic string
twe	bridge	noun			twa twe no	cross the bridge
twe	pull	verb			twe ahoma no	to pull the rope
twe	withdraw	verb			ɔ bɛtwe sika no	she will withdraw money
twe ... aso	punish	verb			twe ne aso	punish him
twe ... mu	stretch	verb			twe tam no mu	stretch the cloth
twe ... nyinkunu	be jealous	verb			twe ne kun ho nyinkunu	be jealous over her husband
twe breeke	brake	verb			ɔhɛnkani no atwe breeke	the driver has braked
twe manso	litigate	verb			yɛ retwe manso	we are litigating
twe mpena	date	verb			wo ne bɛtwe mpena?	will you date me?
tweaa	chwia	exclamation			woana na ɔ kaee sɛ tweaa?	who said chwia?
twee	mtchew	verb			wo retwee me?	you are mtchewing me?
twere	lean on	verb			twere me	lean on me
twereduampɔn	dependable	adjective	dua a wo twere a wo mmpɔn	a tree which does not bend when leaned upon	twereduampɔn nyame	dependable god
twerɛbo	flint	noun			fa twerɛbo no sɔ gya no	use the flint to light the fire
twerɛw	scrape	verb			twerɛw nam ne ho	to scrape the fish scales
tweɔn	wait	verb			tweɔn kakra	to wait a bit
twɛ	vagina	noun			wo nnka 'twɛ' wɔ bagua mu	you don't say 'vagina' in public
twɛre	knee	noun			me ntwɛre	my knees
twi		noun	sebɔ			
Twi	Twi	noun			Twi yɛ Akan kasa	Twi is an Akan language
twitwa	slice	verb			twitwa paanoo no mu	slice the bread up
twitwiw	scrub	verb			twitwiw famu no yie	scrub the floor well
twiw	drive	verb			twiw kaar	drive a car
twuobuei	choboi	exclamation		a rallying cry in the GaDangme language	Twuobuei! Yiei!	Choboi! Yeah!
ukelele	ukelele	noun			bɔ ukelele no	play the ukelele
Ururimi	Ururimi	noun	Kinyarwanda nye Kirundi kasa ne akyerɛw	the modern written form of the Kinyarwanda and Kirundi language. Ururimi means "language" in Kinyarwanda and Kirundi	"M" ma mama	I write Ururimi
Uzebɛkestan	Uzbekistan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Uzebɛkestan	go to Uzbekistan
Uzebɛkestannyi	Uzbek	noun	obi a ɔ fi Uzebɛkestan	someone from Uzbekistan	Uzebɛkestanfo no	the Uzbeks
v	v	phoneme	Akyerɛwamba a ɔ fi Borɔfo kasa mu	also V. Twenty-first letter of the English alphabet	"V" ma Venezuwela	pronounced as /v/
vaelɛt	violet	adjective			nhyiren vaelɛt	violet flowers
vakum	vacuum	science			spese yɛ vakum	space is a vacuum
vehicle	hyɛn	noun			hyɛn pii	many vehicles
Venizuwela	Venezuela	noun	Ɔman wɔ Ahyia	A country in South America	kɔ Venizuwela	go to Venezuela
Venizuwelanyi	Venezuelan	noun	obi a ɔ fi Venizuwela	someone from Venezuela	Venizuwelafo no	the Venezuelans
vɛɛhyɛn	version	noun			vɛɛhyɛn bɛn?	which version?
vidio	video	noun			hwɛ vidio no	watch the video
Viyɛtnam	Vietnam	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Viyɛtnam	go to Vietnam
Viyɛtnamnyi	Vietnamese	noun	obi a ɔ fi Viyɛtnam	someone from Vietnam	Viyɛtnamfo no	the Vietnamese
vɔdka	vodka	noun			mborɔnsa anaa vɔdka?	rum or vodka?
vɔlum	volume	noun			bue vɔlum no	turn up the volume
wa	be lengthy	verb			wo asɛm wa	your story is lengthy
waa	just	adverb	wo ara		waa hwɛ!	just see!
waakye	waache	noun			waakye na wole	waache and cowhide
waba	snail	noun			me di nwaba	I eat snails
waduru	mortar	noun			wɔmba na waduru	pestle and mortar
wae	peel off	verb			wae plasta no	peel off the plaster
wae	heh	exclamation			kosɛ wae	sorry, heh
waefae	wifi	noun			me foon hu waefae no	my phone sees the wifi
wansan	deer	noun			gyata pɛ wansan nam	a lion likes deer meat
wansema	fly	noun			wansema tu	a fly flies
wansena	housefly	noun			wansena tumi soa yareba	a housefly can carry disease
wansena pobi	blowfly	noun			wansena pobi ho yɛ abufuw	blowflies are annoying
wanta	mist	noun			anapa wanta	morning mist
wao	wow	exclamation			wao! me da wo ase!	wow! thank you!
ware	marry	verb			ware me	marry me
wate	watch	noun		a wearable device for telling the time	wate kakraba	a small watch
waw	cough	noun			ɔ wɔ waw	he has a cough
we	be last	verb			wo awe	you are last
we	chew	verb			we nkate	to chew groundnuts
wea	crawl	verb			abofra no rewea	the child is crawling
weɛ	aye	exclamation			Weɛ! Mo nyɛ komm!	Aye! Silence!
wekɔ	fine	adjective			nyam no wekɔwekɔ	grind it finely
wene	weave	verb			wene kɛntɛn	weave a basket
wene	bitter	adjective			aduru wene	bitter medicine
wensee	tough	adjective			nam wensee	tough meat
wentwiwentwi	squabbles	noun			wentwiwentwi na ahorobahyɛ	squabbles and insults
wenyin	wine	noun			yɛ renom wenyin dɛwdɛw	we are drinking sweet wine
weɔn	guard	verb			weɔn dan no	guard the house
wer	canvas	noun			wer kɛse	a large canvas
were	parched	adjective			honam were	parched skin
werɛ	soul	noun			me werɛ di ehurusi	my soul exults
werɛ firi	forget	verb			me werɛ afiri	I have forgotten
wesee	poor	adjective			man wesee	a poor country
weyi	this	determiner			fɛm me buukuu weyi	lend me this book
wɛbsaete	website	noun			yɛ wɛbsaete ma me	make a website for me
wɛda	weather	noun			yɛ wɔ wɛda papa	we have good weather
wia	steal	verb			wia na sɛe	steal and destroy
wiade	world	noun			wiade mu mbofra	children of the world
wiase	world	noun			wiase mu mbofra	children of the world
wie	end	verb			wo bɛwie ako no	you will end the war
wie	finish	verb			wɔ bɛwie aduane no	they will finish the food
wigyinae	noon	noun			wigyinae aba	noon has arrived
wii	marijuana	noun			ɔ nom wii	she smokes marijuana
wimu	sky	noun			tu kɔ wimu	to fly into the sky
wimuhyɛn	aeroplane	noun			wimuhyɛn abien	two aeroplanes
wimuhyɛn-gyinabea	airport	noun			me rekɔ wimuhyɛn-gyinabea	I'm going to the airport
wini	leak	verb			bokiti no wini	the bucket leaks
winwin	whine	verb			gyae winwin	stop whining
wiriw		noun	akoo			
wisa	cilantro	noun			wisa yɛ ahaban	cilantro is a plant
wisaba	coriander	noun			wo tumi di wisaba	you can eat coriander
wo	youe	pronoun		Also "you". singular object pronoun	me dɔ wo	I love youe
wo	you	pronoun	de kyerɛ baako a ɔ retie	second person singular subject pronoun. Used to indicate one person being addressed	wo didi	you eat
wo	your	possessive		2nd person singular possessive pronoun	wo fie	your house
woana	who	pronoun			woana nye no?	who is he?
woana ne	whose	pronoun	woana ne de?		woana ne fie nyi?	whose house is this?
woanasodi	accountability	noun			asodi nye woanasodi	responsibility and accountability 
wode	yours	pronoun			Kofi, ɛ yi yɛ wode	Kofi, this thing is yours
woho	yourself	pronoun			hwɛ woho yie	look after yourself well
wole	cowhide	noun	nantwi ne honam noaee	cooked skin of a cow	waakye na wole	waache and cowhide
woo	birth	verb			woo ntafo	to birth twins
woraba		noun	soroma			
worɔw	strip off	verb		remove	worɔw wo mpabowa	strip off your shoes
wosaw	masticate	verb			nantwi wosaw mfuw	a cow masticates grass
wosee	dry	adjective			asaase wosee	dry land
wosow	shake	verb			wosow brɛ no gu	to shake the tiredness off
wɔ	they	pronoun	de kyerɛ binom, anaa ndeɛma, a wo abɔ hɔn din dada	used to indicate people, or things, previously mentioned	wɔ didi	they eat
wɔ	pound	verb			wɔ fufu	pound fufu
wɔ	at	preposition			hyia me wɔ fie	meet me at home
wɔ	one	pronoun			kodi wɔ nngye nndi o	one does not believe fables
wɔ	be at	verb		to be at a place	ɔ wɔ ha!	he is here!
wɔ	have	verb			ɔ wɔ sika	she has money
wɔ ... mu	in	preposition			ɛ wɔ dan no mu	it is in the house
wɔ ... pande	inject	verb			wɔ me pande	inject me
wɔdin	famous	adjective			nyimpa wɔdin nyi	famous person
wɔfa	uncle	noun			wɔfa Kofi	uncle Kofi
wɔfase	nephew	noun			me papa ne wɔfase	my father's nephew
wɔfasewa	niece	noun			me nwɔfasewanom	my nieces
Wɔlɔf	Wolof	noun			Wɔlɔf kasa	Wolof language
wɔmba	pestle	noun			wɔmba na waduru	pestle and mortar
wɔn	their	possessive			wɔn fie	their house
wɔn	them	pronoun			kyerɛ wɔn	show them
wɔnde	theirs	pronoun			ɛ yi yɛ wɔnde	this thing is theirs
wɔnho	themselves	pronoun			wɔ hwɛ wɔnho yie	they look after themselves well
wɔw	prop	verb			wɔw abow no	prop the door
wu	die	verb			wu ntɛm wɔ agoro no mu	to die young in the play
